Rank (PTS),Image URL,ESPN URL,Name,College,Position,GP,MIN,PTS,FGM,FGA,FGPct,3PM,3PA,3PPct,FTM,FTA,FTPct,REB,AST,STL,BLK,TO
305,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/233.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5107880/cameron-fens,Cameron Fens,SDAK,C,29,25.2,14.8,5.8,9.8,59.2,0,0,0,3.2,5.3,60.4,8.7,0.7,0.4,1.4,1.8
308,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/299.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5238187/petar-majstorovic,Petar Majstorovic,LBSU,F,28,30.4,14.8,5.4,10.3,52.2,1,3.2,31.1,3,3.8,79.2,6.4,1.8,1.7,0.3,2.3
309,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2433.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5106632/lavell-brodnex,Lavell Brodnex,ULM,G,23,31.2,14.8,5,9.6,52.3,0.9,2.4,36.4,3.9,5.6,70.3,8.3,2.2,0.8,1,1.7
310,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/99.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5105785/max-mackinnon,Max Mackinnon,LSU,G,26,30.7,14.8,4.9,11.7,41.9,2.2,5.6,39.3,2.8,3.1,91.3,2.5,2.5,0.6,0.3,1.7
311,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/112358.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5175029/malachi-davis,Malachi Davis,LIU,G,29,31.3,14.8,5.6,13.3,41.8,1.3,4.1,31.9,2.3,3.8,61.8,3.7,3.4,1.3,0.1,3
312,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2463.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5106291/josiah-davis,Josiah Davis,CSUN,G,28,32.9,14.8,5.3,12,43.9,0.2,0.9,19.2,4.1,6,67.5,4.4,7.3,1.2,0.3,4.5
313,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/4873089/tahaad-pettiford,Tahaad Pettiford,AUB,G,27,32.1,14.7,4.9,12.9,38.2,1.8,6.5,28,3.1,3.6,85.6,2.9,3.6,0.9,0.5,2.3
314,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/59.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/4683757/kowacie-reeves-jr,Kowacie Reeves Jr.,GT,F,26,29.7,14.7,5.3,11.7,45.1,1.9,5.1,37.6,2.3,2.9,77.6,3.7,1.2,1,0.6,1.3
314,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2174.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5108764/orlando-lovejoy,Orlando Lovejoy,DETM,G,26,30.2,14.7,5.2,12.2,42.7,0.2,0.9,16.7,4.2,4.7,89.3,3.7,3.7,1.7,0.2,1.9
316,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2142.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5314481/andrew-alekseyenko,Andrew Alekseyenko,COLG,F,29,29.4,14.7,5.6,11.1,50,1.2,3.2,38.7,2.3,3,79.1,6.9,2.4,0.9,0.2,2.3
317,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2349.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5105889/angel-montas-jr,Angel Montas Jr.,UML,G,25,27.4,14.7,5.9,11.1,53.1,0.9,2.9,30.6,2,3,67.1,5.2,1.7,0.8,0.4,1.7
318,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/202.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5178210/tylen-riley,Tylen Riley,TLSA,G,28,26.3,14.7,4.5,9.3,48.8,0.8,1.8,41.2,4.9,5.5,87.7,3.7,4,0.7,0.1,2.6
319,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/259.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/4685673/amani-hansberry,Amani Hansberry,VT,F,27,31.2,14.7,5.4,11.1,48.5,1.1,3.2,34.5,2.8,3.9,73.1,7.7,2.5,1.5,0.6,2.1
319,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/150.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5061585/isaiah-evans,Isaiah Evans,DUKE,G,27,27.6,14.7,4.7,11,42.6,2.5,7,35.4,2.8,3.1,88.2,3,1.1,0.9,0.8,1.1
321,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/256.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5176669/cliff-davis,Cliff Davis,JMU,G,29,30.9,14.7,4.8,11.3,42.4,3.1,8.1,38.3,2,2.3,85.1,2.9,1.8,1.2,0,1.1
321,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2239.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5180837/joshua-ward,Joshua Ward,CSUF,G,29,31.3,14.7,4.9,10.9,44.6,1.5,4.6,32.6,3.4,4.6,75.2,4.6,3.3,1.6,0.5,2.1
323,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2305.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5044426/flory-bidunga,Flory Bidunga,KU,F,27,31.7,14.6,6.2,9.4,66.4,0,0.1,0,2.2,3.2,67.8,9.3,1.7,0.7,2.8,1.6
323,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/130.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5175737/yaxel-lendeborg,Yaxel Lendeborg,MICH,F,27,29.1,14.6,4.9,9.7,49.8,1.4,4.4,30.8,3.6,4.3,82.1,7.5,3.2,1.2,1.5,1.2
325,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2430.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5314574/kj-younger,KJ Younger,UNCG,G,29,28.2,14.6,4.9,11,44.1,1.8,5.3,33.1,3.1,4.7,66.9,4.7,1.2,0.9,0.2,1.1
326,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/193.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5106674/peter-suder,Peter Suder,M-OH,G,26,30.3,14.6,5.5,9.7,56.5,1.2,2.7,42.9,2.5,3.3,74.4,4.7,4.1,1.3,0.4,2
327,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/301.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/4845369/ty-laur-johnson,Ty-Laur Johnson,USD,G,23,28,14.6,5.2,12.1,43.2,1.1,3.5,30.9,3.1,3.7,82.6,2.7,4.3,2.3,0.3,2.9
328,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/104.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5242765/ben-defty,Ben Defty,BU,F,28,29.2,14.6,5.6,8.3,68.1,0,0,0,3.3,5.1,65,6.9,2,0.4,1.6,2.1
329,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2640.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5108778/troy-hupstead,Troy Hupstead,TXSO,F,25,29.5,14.6,5.2,10.2,50.6,0.7,2.4,30.5,3.6,5.2,68.5,9.3,1.1,0.6,0.6,1.8
329,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/25.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5196370/justin-pippen,Justin Pippen,CAL,G,25,30.8,14.6,4.2,11.2,37.4,1.8,5.2,35.1,4.4,5.4,81.3,4.2,4.4,1.8,0.7,2.4
331,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2046.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5060699/rashaud-marshall,Rashaud Marshall,APSU,F,27,28.3,14.6,5.4,8.3,65.2,0,0,0,3.8,5.7,65.8,6.6,1,1,1,1.2
332,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2351.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/4897534/myron-amey-jr,Myron Amey Jr.,LMU,G,29,29.8,14.6,5,12,42.1,2.7,7.4,36,1.9,2.5,75,3.8,1.6,1.4,0.2,1.3
333,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2450.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5106767/elijah-jamison,Elijah Jamison,NORF,G,28,28,14.6,5,11.2,44.6,1,3.1,31.4,3.6,4.5,79.5,3.1,3.1,0.7,0,2.3
334,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/145.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5105603/aj-storr,AJ Storr,MISS,G,27,25.5,14.6,5.1,11.6,43.8,1.3,3.5,37.2,3.1,4.1,76.4,3.4,1.9,0.9,0.1,1.3
335,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2193.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5106766/brian-taylor-ii,Brian Taylor II,ETSU,G,29,32.6,14.6,5.2,11.1,47.4,1.5,4.2,35.2,2.6,3.2,79.8,4.1,2.9,1.2,0.2,1.7
336,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/314.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/4897054/cj-anthony,CJ Anthony,IONA,G,28,31.6,14.5,4.7,10.6,44.4,1.8,4.6,37.7,3.4,4.4,75.8,3.1,5.3,1.7,0.1,2.6
337,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/197.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/4897970/parsa-fallah,Parsa Fallah,OKST,F,25,26.1,14.5,5.4,9.1,59.9,0.4,1,38.5,3.2,4.7,69.2,6,0.7,1.2,0.4,1.3
338,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/58.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/4699760/joseph-pinion,Joseph Pinion,USF,G,27,30,14.5,4.9,12.1,40.2,3.3,8.5,39.1,1.5,1.9,80,3.7,2,1.6,0.3,1.5
338,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2751.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/4712838/leland-walker,Leland Walker,WYO,G,27,28,14.5,4.9,11.1,44.2,1,3.4,30.1,3.6,4.4,83.1,3,3.6,0.9,0.2,2.6
338,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/269.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5105598/chase-ross,Chase Ross,MARQ,G,27,33,14.5,4.7,11.5,40.5,1.2,4.2,28.3,4,5.4,74.5,4.2,3.5,2.3,0.3,2.1
338,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/193.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5243053/brant-byers,Brant Byers,M-OH,G,27,30.1,14.5,4.3,8.6,50,2,5,41,3.9,5,77.2,4,0.6,0.6,0.4,0.9
342,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/309.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5106265/dorian-finister,Dorian Finister,UL,G,29,32.5,14.5,4.7,10.8,43.8,1.3,3.6,36.9,3.8,5.1,74.1,4.7,2,1.1,0.4,1.8
343,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2885.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5175802/sebastian-robinson,Sebastian Robinson,NJIT,G,26,26.5,14.5,5.2,11.7,44.9,0.4,1.7,23.3,3.7,5.2,70.9,3,2.3,1.1,0.1,1.8
344,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/227.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/4431930/tyler-cochran,Tyler Cochran,URI,G,27,30.4,14.5,4.6,11,41.9,1.4,4.5,30.3,3.9,5.3,73.2,5.5,1.9,2.7,0.2,1.9
344,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/253.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5314849/elijah-duval,Elijah Duval,SUU,G,27,26.3,14.5,5.4,11.7,45.9,1,2.8,34.2,2.8,4.4,62.5,3.9,3.6,1.2,0.3,3.7
346,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2681.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5317314/nick-jones,Nick Jones,WAG,G,25,31.6,14.5,4.9,12,41,1,3.7,26.9,3.6,4.5,80.5,3.5,2.4,1.8,0.4,2.6
347,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/119.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5106727/dylan-williamson,Dylan Williamson,TOW,G,28,35.5,14.5,5.4,14,38.8,2.4,7.1,33.7,1.2,1.5,81,2.3,3.4,0.8,0.1,1.9
348,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2168.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5177122/deshayne-montgomery,De'Shayne Montgomery,DAY,G,26,31.1,14.5,5.3,10.4,51.1,1.5,4.2,36.7,2.3,2.8,81.1,3.7,2.3,2.5,0.7,2
349,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2390.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5101809/shelton-henderson,Shelton Henderson,MIA,F,27,30.4,14.4,5.5,9.4,58.7,0.4,1.6,27.9,3,5,58.8,4.8,2,1.2,0.3,1.7
350,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/120.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5108023/david-coit,David Coit,MD,G,27,27.8,14.4,4.6,11.3,41,2.4,6.8,34.8,2.8,3.2,86.2,2,2.8,0.6,0,1.8
351,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/147.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5107844/jed-miller,Jed Miller,MTST,G,28,34.1,14.4,4.6,10.1,46.1,2.7,6.8,40,2.4,2.9,81.7,5.4,2.7,1.7,0.1,1
352,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2541.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5241069/elijah-mahi,Elijah Mahi,SCU,F,29,30,14.4,5.3,11.6,46,1.5,4.4,34.1,2.2,3,71.6,4.4,2.7,1.5,0.4,1.8
352,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/56.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5314558/ethan-copeland,Ethan Copeland,STET,G,29,31.3,14.4,4.8,11.3,42.8,3.1,7.5,41.7,1.6,2,78,3.5,1.9,1.6,0.1,1.4
354,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/25.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/4684155/john-camden,John Camden,CAL,F,27,31.4,14.4,4.6,9.8,46.4,2.8,6.6,42.4,2.5,3.1,80.7,4.8,1.6,0.7,0.2,1
354,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/147.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/4897923/patrick-mcmahon,Patrick McMahon,MTST,G,27,30.3,14.4,5.1,11,46.8,0.5,2,24.5,3.6,5,71.9,4.6,2,0.7,0.2,1.7
356,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2193.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5107271/cam-morris-iii,Cam Morris III,ETSU,F,28,26.2,14.4,5.1,8.9,58.1,0.4,1,35.7,3.7,5.3,70.3,5.1,1.6,1.3,1.3,1.4
356,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2630.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5242999/andrija-bukumirovic,Andrija Bukumirovic,UTM,F,28,29.5,14.4,5.4,10.3,52.3,1.5,4.1,37.1,2.1,3.6,57.8,8,1,1.1,0.9,1.3
358,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/322.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5176067/andrew-phillips,Andrew Phillips,LAF,G,29,33.4,14.3,5.1,12.5,40.5,2.1,6.4,32.1,2.1,3,70.5,4.6,1.3,1.1,0.2,1.1
359,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/288.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/4897583/grant-asman,Grant Asman,LIP,F,29,27.7,14.3,5.2,9.9,52.8,1.9,5,38.2,2,2.6,76.3,6.1,1.7,1,1,1.6
359,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2870.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5177573/mikale-stevenson,Mikale Stevenson,PFW,G,29,29.6,14.3,5.1,11.9,43.2,1.6,4.6,35.1,2.4,3,80.5,3.5,3.2,1.6,0.1,2.2
361,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2199.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5242937/mohammad-habhab,Mohammad Habhab,EMU,F,27,35.9,14.3,5.2,12.7,41.1,0.3,1.2,25,3.6,4.7,75,8.4,3.2,0.9,1.4,2.3
362,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2623.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5241397/michael-osei-bonsu,Michael Osei-Bonsu,MOST,F,24,25.7,14.3,5.5,9.7,57.3,0,0,0,3.2,6.2,51.7,7.3,2.3,1.4,0.8,2.5
363,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2670.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5060712/terrence-hill-jr,Terrence Hill Jr.,VCU,G,28,23.6,14.3,4.3,9.4,45.4,2.2,6.1,36.5,3.6,4.1,87,2.7,2.9,0.6,0.1,1
364,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/238.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/4838721/tyler-nickel,Tyler Nickel,VAN,F,27,30.3,14.3,4.9,10.2,47.8,3.3,7.6,42.9,1.2,1.5,82.5,3,1.3,0.8,0.6,0.6
364,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/68.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5082704/drew-fielder,Drew Fielder,BOIS,C,27,22.9,14.3,5.3,9.7,54.4,1.2,2.9,41.6,2.5,3.2,77.9,5.5,1.4,0.4,0.6,1.7
366,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2217.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5311734/brandon-benjamin,Brandon Benjamin,FAIR,F,28,31.2,14.3,6,10.4,57.5,0,0.3,14.3,2.2,3.3,66.7,10.3,1.3,0.8,1.6,1.6
367,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2182.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5105778/shane-blakeney,Shane Blakeney,DREX,G,29,33.3,14.2,5.3,12.4,42.4,2,5.6,36,1.7,2.4,69,4.9,2.6,1.2,0.7,2.3
367,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/526.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5236221/jordan-ellerbee,Jordan Ellerbee,FGCU,G,29,27,14.2,5.1,10,50.5,1.8,4.5,40,2.3,3.2,72.8,3.3,2,0.9,0,1.6
369,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/41.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/4895737/solo-ball,Solo Ball,CONN,G,27,29.7,14.2,4.7,11.4,41.4,2.1,6.9,30.6,2.7,3.2,84.9,3.5,1.5,0.5,0.3,1.3
369,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2443.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5108082/jakevion-buckley,Jakevion Buckley,UNO,G,27,33.7,14.2,4.6,11.4,40.1,0.9,2.8,32.9,4.2,5.5,76.4,4.9,5.3,1.9,0.1,4.2
371,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2352.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5176286/jacob-theodosiou,Jacob Theodosiou,L-MD,G,24,25.1,14.2,4.8,10.4,46.2,1.2,4,29.5,3.5,5.1,68,4.1,3,1.7,0.2,2.8
372,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2653.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5176732/thomas-dowd,Thomas Dowd,TROY,F,29,35.8,14.2,5,11.2,44.4,2,5.8,34.3,2.3,3,76.7,10.1,2.2,1.4,1.3,1.2
373,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/344.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5105791/jayden-epps,Jayden Epps,MSST,G,25,27,14.2,4.9,12.1,40.6,2,6.4,31.7,2.3,2.8,82.9,2.4,2.1,0.5,0.2,1.7
374,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/152.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/4937074/darrion-williams,Darrion Williams,NCSU,F,26,29.2,14.2,5.1,12.1,42.2,2.3,5.6,40.4,1.7,2.2,78.6,5,2.9,1,0.3,1.7
374,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/48.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5107353/tyler-houser,Tyler Houser,DEL,F,26,33.2,14.2,5.2,10.4,49.8,1.6,4.1,38.3,2.2,2.7,81.7,5.4,1.7,0.4,0.4,1.3
374,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/338.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5176186/rj-johnson,RJ Johnson,KENN,G,26,25.9,14.2,4.8,9.9,48.2,1.6,3.6,44.1,3.1,5,62,3.2,3.6,1,0.5,1.7
377,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/38.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/4712832/barrington-hargress,Barrington Hargress,COLO,G,27,31.9,14.2,5.4,10,54.3,1.6,3.2,50,1.8,2.2,80,1.9,4.4,0.9,0,1.3
377,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2296.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/4897873/jayme-mitchell-jr,Jayme Mitchell Jr.,JKST,G,27,32.4,14.2,4.4,11.3,39.1,1.9,5.8,32.1,3.5,4.4,79.8,5,0.9,1.2,0.7,2.3
377,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2547.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5241342/brayden-maldonado,Brayden Maldonado,SEA,G,27,30.1,14.2,4.6,11,41.9,2.3,6.1,36.7,2.7,3,92.5,3.2,2.6,1.4,0.1,1.6
380,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2351.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5037870/rodney-brown-jr,Rodney Brown Jr.,LMU,G,28,31.9,14.2,4.9,11.5,42.4,2.9,7.5,38.1,1.5,1.8,84.3,2.5,1.7,0.8,0.1,1.5
380,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2010.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5174561/koron-davis,Koron Davis,AAMU,G,28,28.9,14.2,4.4,10.4,42.3,1,3.4,30.2,4.4,5.2,83.6,5.3,0.8,0.8,0.1,2
382,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2506.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5175672/carl-parrish,Carl Parrish,PRES,G,29,32.8,14.2,4.8,11.8,41.1,2.4,5.8,40.8,2.1,2.6,81.6,2.6,2.5,0.7,0.1,1.6
382,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/276.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5313147/noah-otshudi,Noah Otshudi,MRSH,G,29,31.4,14.2,5.3,11.7,45.3,0.7,2.2,29.2,3,3.5,84.3,3.5,3.4,0.8,0,2.7
